genome	species	protDB
Dgu_HS1_HYBRID_SCAFFOLD	Dicorynia guyanensis	plants_proteins.fasta
HS1_Sru_omap1_hap1_HYBRID_SCAFFOLD	Sextonia rubra	plants_proteins.fasta
